name,email,active
Adam Konečný,adam.konecny@email.cz,1
Barbora Malá,barbora.mala@email.cz,1
Cyril Beneš,cyril.benes@email.cz,1
Daniela Urbanová,daniela.urbanova@email.cz,1
Filip Šimek,filip.simek@email.cz,1
Gabriela Horáková,gabriela.horakova@email.cz,0
Hynek Jelínek,hynek.jelinek@email.cz,1
Ivana Pokorná,ivana.pokorna@email.cz,1
Jakub Růžička,jakub.ruzicka@email.cz,1
Klára Sedláčková,klara.sedlackova@email.cz,1
Lukáš Toman,lukas.toman@email.cz,1
Monika Vlčková,monika.vlckova@email.cz,0
Norbert Krátký,norbert.kratky@email.cz,1
Olga Vaňková,olga.vankova@email.cz,1
Pavel Zeman,pavel.zeman@email.cz,1
Radka Jelínková,radka.jelinkova@email.cz,1
Stanislav Blažek,stanislav.blazek@email.cz,1
Tereza Němcová,tereza.nemcova@email.cz,1
Viktor Soukup,viktor.soukup@email.cz,1
Zuzana Křížová,zuzana.krizova@email.cz,1
